Provinsi,,2020,2021,2022
Aceh,,202,210,153
Sumatera Utara,,746,837,792
Sumatera Barat,,206,170,114
Riau,,300,176,167
Jambi,,121,97,80
Sumatera Selatan,,424,277,211
Bengkulu,,145,151,66
Lampung,,150,188,141
Kep Bangka Belitung,,32,29,23
Kepulauan Riau,,137,98,55
DKI Jakarta,,747,693,476
Jawa Barat,,438,286,400
Jawa Tengah,,137,117,89
DI Yogyakarta,,151,110,75
Jawa Timur,,521,651,725
Banten,,75,65,68
Bali,,138,106,89
Nusa Tenggara Barat,,434,286,103
Nusa Tenggara Timur,,294,313,206
Kalimantan Barat,,74,67,29
Kalimantan Tengah,,57,65,61
Kalimantan Selatan,,85,78,53
Kalimantan Timur,,153,107,53
Kalimantan Utara,,21,16,24
Sulawesi Utara,,423,315,261
Sulawesi Tengah,,320,354,125
Sulawesi Selatan,,741,812,405
Sulawesi Tenggara,,135,143,100
Gorontalo,,152,179,96
Sulawesi Barat,,69,51,17
Maluku,,158,122,66
Maluku Utara,,51,48,40
Papua Barat,,69,63,59
Papua,,179,144,104
